8.471,1.351,0.579,1,0.8,0.2,1
17.237,5.997,0.899,1,0.8,0.2,1
21.797,2.13,0.346,1,0.8,0.2,1
24.51,2.158,0.555,1,0.8,0.2,1
26.827,1.753,0.564,1,0.8,0.2,1
36.11,1.485,0.247,2,0.8,0.2,0
37.977,1.331,0.536,2,0.8,0.2,0
39.755,1.3,0.478,2,0.8,0.2,0
47.988,2.976,0.564,1,0.8,0.2,0
49.713,1.166,0.559,1,0.8,0.2,1
52.389,2.118,0.558,1,0.8,0.2,1
57.371,1.617,0.526,1,0.8,0.2,1
59.573,1.948,0.254,1,0.8,0.2,1
64.592,1.549,0.536,1,0.8,0.2,0
70.073,1.345,0.484,1,0.8,0.2,0
80.004,1.282,0.552,2,0.8,0.2,0
84.593,1.055,0.572,1,0.8,0.2,1
88.075,1.11,0.268,1,0.8,0.2,1
90.728,2.162,0.491,1,0.8,0.2,1
95.749,1.391,0.533,1,0.8,0.2,1
97.305,1.407,0.149,1,0.8,0.2,1
99.794,2.063,0.426,1,0.8,0.2,1
105.51,1.16,0.245,1,0.8,0.2,1
111.44,1.738,0.596,1,0.8,0.2,1
115.41,1.315,0.568,1,0.8,0.2,1
117.77,1.834,0.529,1,0.8,0.2,1
120.1,1.797,0.529,1,0.8,0.2,1
123.73,3.092,0.545,1,0.8,0.2,1
128.76,1.172,0.529,1,0.8,0.2,1
130.8,1.389,0.648,1,0.8,0.2,1
133.54,2.165,0.576,1,0.8,0.2,1
136.26,2.174,0.548,1,0.8,0.2,1
138.88,2.314,0.303,1,0.8,0.2,1
142.13,2.713,0.534,1,0.8,0.2,1
144.46,1.883,0.446,1,0.8,0.2,0
146.01,1.289,0.269,1,0.8,0.2,0
147.64,1.289,0.34,1,0.8,0.2,1
150.14,2.06,0.433,1,0.8,0.2,1
155.59,1.413,0.558,1,0.8,0.2,1
157.88,1.741,0.542,1,0.8,0.2,1
161.78,1.093,0.281,1,0.8,0.2,1
165.43,1.083,0.549,1,0.8,0.2,1
168.12,2.399,0.293,1,0.8,0.2,1
170.77,2.163,0.486,1,0.2,0.8,0
175.35,1.272,0.545,1,0.2,0.8,0
179.43,1.988,0.423,1,0.2,0.8,0
180.9,1.107,0.372,1,0.2,0.8,1
183.38,1.932,0.54,1,0.2,0.8,0
186.93,1.139,0.546,1,0.2,0.8,1
191.91,1.167,0.872,1,0.2,0.8,0
193.7,1.352,0.44,1,0.2,0.8,0
195.86,1.549,0.615,1,0.2,0.8,0
