,Owner,Session ID,Mouse ID,Date,Phase,Markov,Left Reward Prob,Right Reward Prob,Block Range Min,Block Range Max,No. Trials,No. Blocks,No. Rewards,p(high Port),Decision Window Duration,Min Inter-trial-interval,Left Solenoid Duration,Right Solenoid Duration
31,celia,09152017_Baby,Baby,2017-09-15,2.0,1,0.8,0.2,,,733.0,19.0,506.0,0.81,2.0,1.0,40.0,40.0
32,celia,09192017_Baby,Baby,2017-09-19,2.0,1,0.8,0.2,,,810.0,15.0,576.0,0.82,2.0,1.0,40.0,40.0
33,celia,09202017_Baby,Baby,2017-09-20,2.0,1,0.2,0.8,,,781.0,23.0,546.0,0.84,2.0,1.0,40.0,40.0
34,celia,09212017_Baby,Baby,2017-09-21,2.0,1,0.2,0.8,,,826.0,16.0,576.0,0.84,2.0,1.0,40.0,40.0
35,celia,09222017_Baby,Baby,2017-09-22,2.0,1,0.8,0.2,,,669.0,12.0,495.0,0.87,2.0,1.0,40.0,40.0
36,celia,09252017_Baby,Baby,2017-09-25,2.0,1,0.2,0.8,,,819.0,12.0,592.0,0.87,2.0,1.0,40.0,40.0
37,celia,09262017_Baby,Baby,2017-09-26,2.0,1,0.2,0.8,,,771.0,15.0,512.0,0.76,2.0,1.0,40.0,40.0
38,celia,09272017_Baby,Baby,2017-09-27,2.0,1,0.2,0.8,,,812.0,14.0,546.0,0.82,2.0,1.0,40.0,40.0
40,celia,09292017_Baby,Baby,2017-09-29,2.0,0,0.8,0.2,50.0,50.0,781.0,10.0,544.0,0.76,2.0,1.0,40.0,40.0
41,celia,10032017_Baby,Baby,2017-10-03,2.0,1,0.8,0.2,,,932.0,22.0,620.0,0.8,2.0,1.0,40.0,40.0
42,celia,10042017_Baby,Baby,2017-10-04,2.0,1,0.2,0.8,,,770.0,12.0,535.0,0.82,2.0,1.0,40.0,40.0
44,celia,10072017_Baby,Baby,2017-10-07,2.0,1,0.2,0.8,,,786.0,14.0,511.0,0.79,2.0,1.0,40.0,40.0
45,celia,10122017_Baby,Baby,2017-10-12,2.0,1,0.2,0.8,,,829.0,12.0,603.0,0.87,2.0,1.0,40.0,40.0
46,celia,10132017_Baby,Baby,2017-10-13,2.0,1,0.8,0.2,,,795.0,16.0,520.0,0.76,2.0,1.0,40.0,40.0
47,celia,10162017_Baby,Baby,2017-10-16,2.0,1,0.8,0.2,,,825.0,11.0,541.0,0.75,2.0,1.0,40.0,40.0
77,celia,09122017_Mustard,Mustard,2017-09-12,2.0,1,0.2,0.8,,,657.0,12.0,472.0,0.88,2.0,1.0,40.0,40.0
78,celia,09132017_Mustard,Mustard,2017-09-13,2.0,1,0.2,0.8,,,620.0,11.0,431.0,0.83,2.0,1.0,40.0,40.0
79,celia,09142017_Mustard,Mustard,2017-09-14,2.0,1,0.8,0.2,,,650.0,15.0,468.0,0.87,2.0,1.0,40.0,40.0
80,celia,09152017_Mustard,Mustard,2017-09-15,2.0,1,0.2,0.8,,,702.0,15.0,479.0,0.8,2.0,1.0,40.0,40.0
81,celia,09182017_Mustard,Mustard,2017-09-18,2.0,1,0.8,0.2,,,817.0,27.0,563.0,0.81,2.0,1.0,40.0,40.0
82,celia,09192017_Mustard,Mustard,2017-09-19,2.0,1,0.2,0.8,,,719.0,13.0,507.0,0.86,2.0,1.0,40.0,40.0
83,celia,09202017_Mustard,Mustard,2017-09-20,2.0,1,0.2,0.8,,,736.0,8.0,527.0,0.84,2.0,1.0,40.0,40.0
84,celia,09212017_Mustard,Mustard,2017-09-21,2.0,1,0.2,0.8,,,944.0,17.0,688.0,0.85,2.0,1.0,40.0,40.0
85,celia,09222017_Mustard,Mustard,2017-09-22,2.0,1,0.2,0.8,,,928.0,16.0,659.0,0.82,2.0,1.0,40.0,40.0
86,celia,09252017_Mustard,Mustard,2017-09-25,2.0,1,0.8,0.2,,,934.0,18.0,657.0,0.87,2.0,1.0,40.0,40.0
87,celia,09262017_Mustard,Mustard,2017-09-26,2.0,1,0.8,0.2,,,506.0,11.0,347.0,0.77,2.0,1.0,40.0,40.0
89,celia,09282017_Mustard,Mustard,2017-09-28,2.0,1,0.8,0.2,,,596.0,21.0,366.0,0.73,2.0,1.0,40.0,40.0
90,celia,09292017_Mustard,Mustard,2017-09-29,2.0,1,0.8,0.2,,,570.0,6.0,394.0,0.8,2.0,1.0,40.0,40.0
91,celia,10032017_Mustard,Mustard,2017-10-03,2.0,1,0.2,0.8,,,628.0,12.0,440.0,0.83,2.0,1.0,40.0,40.0
92,celia,10042017_Mustard,Mustard,2017-10-04,2.0,1,0.8,0.2,,,584.0,10.0,402.0,0.83,2.0,1.0,40.0,40.0
94,celia,10072017_Mustard,Mustard,2017-10-07,2.0,1,0.2,0.8,,,618.0,7.0,449.0,0.87,2.0,1.0,40.0,40.0
95,celia,10092017_Mustard,Mustard,2017-10-09,2.0,1,0.2,0.8,,,640.0,8.0,460.0,0.85,2.0,1.0,40.0,40.0
96,celia,10102017_Mustard,Mustard,2017-10-10,2.0,1,0.2,0.8,,,606.0,13.0,431.0,0.89,2.0,1.0,40.0,40.0
